time,local_total,binance_realized,total
2025-10-16 13:25:08,0.00,0.00,0.00
2025-10-16 13:26:08,0.00,0.00,0.00
2025-10-16 13:27:09,0.00,0.00,0.00
2025-10-16 13:28:09,0.00,0.00,0.00
2025-10-16 13:29:10,0.00,0.00,0.00
2025-10-16 13:30:10,0.00,0.00,0.00
2025-10-16 13:31:12,0.00,0.00,0.00
2025-10-16 13:32:12,0.00,0.00,0.00
2025-10-16 13:33:14,0.00,0.00,0.00
2025-10-16 13:34:16,0.00,0.00,0.00
2025-10-16 13:35:16,0.00,0.00,0.00
2025-10-16 13:36:17,0.00,0.00,0.00
2025-10-16 13:37:19,0.00,0.00,0.00
2025-10-16 14:28:58,0.00,0.00,0.00
2025-10-16 14:29:59,0.00,0.00,0.00
2025-10-16 14:30:59,0.00,0.00,0.00
2025-10-16 14:31:59,0.00,0.00,0.00
2025-10-16 14:33:00,0.00,0.00,0.00
2025-10-16 14:34:01,0.00,0.00,0.00
2025-10-16 14:35:01,0.00,0.00,0.00
2025-10-16 14:36:02,0.00,0.00,0.00
2025-10-16 14:37:03,0.00,0.00,0.00
2025-10-16 14:38:04,0.00,0.00,0.00
2025-10-16 14:39:05,0.00,0.00,0.00
2025-10-16 14:40:06,0.00,0.00,0.00
2025-10-16 14:41:08,0.00,0.00,0.00
2025-10-16 14:42:08,0.00,0.00,0.00
2025-10-16 14:43:09,0.00,0.00,0.00
2025-10-16 14:44:11,0.00,0.00,0.00
2025-10-16 14:55:06,0.00,0.00,0.00
2025-10-16 14:56:07,0.00,0.00,0.00
2025-10-16 14:57:08,0.00,0.00,0.00
2025-10-16 14:58:08,0.00,0.00,0.00
2025-10-16 14:58:54,0.00,0.00,0.00
2025-10-16 14:59:54,0.00,0.00,0.00
2025-10-16 15:00:56,0.00,0.00,0.00
2025-10-16 15:01:56,0.00,0.00,0.00
2025-10-16 15:02:57,0.00,0.00,0.00
2025-10-16 15:03:57,0.00,0.00,0.00
2025-10-16 15:04:58,0.00,0.00,0.00
2025-10-16 15:05:58,0.00,0.00,0.00
2025-10-16 15:06:59,0.00,0.00,0.00
2025-10-16 15:08:00,0.00,0.00,0.00
2025-10-16 15:22:19,0.00,0.00,0.00
2025-10-16 15:23:20,0.00,0.00,0.00
2025-10-16 15:24:20,0.00,0.00,0.00
2025-10-16 15:25:20,0.00,0.00,0.00
2025-10-16 15:26:20,0.00,0.00,0.00
2025-10-16 15:27:20,0.00,0.00,0.00
2025-10-16 15:28:22,0.00,0.00,0.00
2025-10-16 15:29:23,0.00,0.00,0.00
2025-10-16 15:30:23,0.00,0.00,0.00
2025-10-16 15:31:24,0.00,0.00,0.00
2025-10-16 15:32:24,0.00,0.00,0.00
2025-10-16 15:33:25,0.00,0.00,0.00
2025-10-16 15:34:26,0.00,0.00,0.00
2025-10-16 15:35:26,0.00,0.00,0.00
2025-10-16 15:36:27,0.00,0.00,0.00
2025-10-16 16:14:56,0.00,0.00,0.00
2025-10-16 16:15:57,0.00,0.00,0.00
2025-10-16 16:16:58,0.00,0.00,0.00
2025-10-16 16:17:59,0.00,0.00,0.00
2025-10-16 16:18:59,0.00,0.00,0.00
2025-10-16 16:20:00,0.00,0.00,0.00
2025-10-16 16:24:21,0.00,0.00,0.00
2025-10-16 16:25:21,0.00,0.00,0.00
2025-10-16 16:26:22,0.00,0.00,0.00
2025-10-16 16:27:23,0.00,0.00,0.00
2025-10-16 16:28:24,0.00,0.00,0.00
2025-10-16 16:29:25,0.00,0.00,0.00
2025-10-16 16:30:25,0.00,0.00,0.00
2025-10-16 16:31:26,0.00,0.00,0.00
2025-10-16 16:36:26,0.00,0.00,0.00
2025-10-16 16:37:27,0.00,0.00,0.00
2025-10-16 16:38:27,0.00,0.00,0.00
2025-10-16 16:39:13,-4.20,0.00,-4.20
2025-10-16 16:39:13,-4.20,0.00,-4.20
2025-10-16 16:39:28,-4.20,0.00,-4.20
2025-10-16 16:39:51,-12.81,0.00,-12.81
2025-10-16 16:39:51,-12.81,0.00,-12.81
2025-10-16 16:40:17,-12.81,0.00,-12.81
2025-10-16 16:40:17,-12.81,0.00,-12.81
2025-10-16 16:40:29,-12.81,0.00,-12.81
2025-10-16 16:53:51,-12.81,0.00,-12.81
2025-10-16 16:54:51,-12.81,0.00,-12.81
2025-10-16 16:55:51,-12.81,0.00,-12.81
2025-10-16 16:56:52,-12.81,0.00,-12.81
2025-10-16 16:57:52,-12.81,0.00,-12.81
2025-10-16 16:58:52,-12.81,0.00,-12.81
2025-10-16 16:59:53,-12.81,0.00,-12.81
2025-10-16 17:00:54,-12.81,0.00,-12.81
2025-10-16 17:01:54,-12.81,0.00,-12.81
2025-10-16 17:02:55,-12.81,0.00,-12.81
2025-10-16 17:03:55,-12.81,0.00,-12.81
2025-10-16 17:04:56,-12.81,0.00,-12.81
2025-10-16 17:12:48,-12.81,0.00,-12.81
2025-10-16 17:13:49,-12.81,0.00,-12.81
2025-10-16 17:14:49,-12.81,0.00,-12.81
2025-10-16 17:15:49,-12.81,0.00,-12.81
2025-10-16 17:16:50,-12.81,0.00,-12.81
2025-10-16 17:17:50,-12.81,0.00,-12.81
2025-10-16 17:18:51,-12.81,0.00,-12.81
2025-10-16 21:51:18,-12.81,0.39,-12.42
